video_id,likes,thumbnail_link,extracted_text,labels,web_entities
wT_yPn3LfNA,69584,https://i.ytimg.com/vi/wT_yPn3LfNA/default.jpg,LADY LIKE,"['Happiness', 'Laughter', 'Love']","['Turn: Travis (Karaoke Version)', 'Tyler Hubbard', 'Travis', 'Music video', 'Florida Georgia Line', 'Amazon Music', 'Song', 'The Man Who', 'IMVDb', 'Universal Music Group']"
6ZfuNTqbHE8,2625661,https://i.ytimg.com/vi/6ZfuNTqbHE8/default.jpg,OFFICIAL TRAILER,"['Action', 'Film', 'Hero', 'Poster', 'Fictional character', 'Video Game Software', 'Avengers', 'Superhero', 'Fiction']","['Avengers: Infinity War', 'Hulk', 'Thanos', 'Marvel Studios', 'Marvel Entertainment', 'Superhero', 'Marvel Cinematic Universe', 'Marvel Comics', 'Avengers: Doomsday']"
XaKDp3ijSx0,30259,https://i.ytimg.com/vi/XaKDp3ijSx0/default.jpg,R,"['Clip art', 'Graphics', 'Animation', 'Happiness', 'Animated cartoon', 'Graphic design']","['St.Arnaud', 'Cartoon', 'Chordify', 'Cartoon Network', 'Animation', 'Music video', 'Episode', ""Weekend at Benson's"", 'Cartoon Cartoons', 'create']"
anDIlMVgNwk,13579,https://i.ytimg.com/vi/anDIlMVgNwk/default.jpg,,"['Advertising', 'Graphic design', 'Graphics', 'Pest', 'Science']","['Screenshot', 'Computer Keyboard', 'Print Screen', 'Snipping Tool', 'Keyboard shortcut', 'Computer', 'screenshot', 'Windows 10', 'Microsoft Windows']"
oFfMN6lPnlA,55217,https://i.ytimg.com/vi/oFfMN6lPnlA/default.jpg,LAST JEDI,['Game'],"['Cartoon', 'Episode', 'Cartoon Network', 'Animation', 'Humor', 'Cartoon Network India', 'Tom and Jerry', 'Cartoon Cartoons', 'YouTube']"
JKP-rOESfMs,15682,https://i.ytimg.com/vi/JKP-rOESfMs/default.jpg,U ? ESUPERIN SMASH BRES,"['Graphics', 'Graphic design', 'Fictional character']","['Super Smash Bros. Ultimate', 'Spawn', 'Nintendo', 'Nintendo Switch', 'Nintendo', 'Black protagonist', 'succeeding', 'Amiibo']"
h_O8ZvB3uEk,218466,https://i.ytimg.com/vi/h_O8ZvB3uEk/default.jpg,,"['Blond', 'Happiness', 'Fun', 'Leisure', 'Film', 'Party', 'Model', 'Vacation', 'Spring break', 'Cousin']","['Lardon', 'Lardon', 'Lardo', 'Souvla', 'Pistachio cheesecake', 'Dessert', 'Souvla', 'Shashlik', 'Bacon', 'Tomato']"
ClM-MORjXQI,11711,https://i.ytimg.com/vi/ClM-MORjXQI/default.jpg,,['Toy dog'],"['American Pit Bull Terrier', 'American Bulldog', 'Bulldog', 'Rottweiler', 'Alapaha blue blood bulldog', 'Great Dane', 'Pit bull', 'Terrier', 'Companion dog', 'Breed']"
7COF8AhH9Z8,200,https://i.ytimg.com/vi/7COF8AhH9Z8/default.jpg,CW,"['People', 'Happiness', 'Gesture', 'News', 'Photo caption', 'Rejoicing', 'Fan', 'Photobombing']","['Folk dance', 'BYU International Folk Dance Ensemble', 'Dance troupe', 'Folk music', 'Choreography', 'Folklore', 'Art', 'Hoedown', 'International folk dance', 'Culture']"
i-LCORFB860,386,https://i.ytimg.com/vi/i-LCORFB860/default.jpg,,"['Lightning', 'Thunder', 'Thunderstorm', 'Storm', 'Night', 'Electricity', 'Science']","['Airplane', 'Faraday cage', 'Faraday effect', 'Flight', 'Electric charge', 'Science', 'Lightning', 'Airport', 'Electricity', 'Airliner']"
